"fecha","nombre_provincia_indec","tipo_vehiculo","cantidad"
"2014-01-01",CABA,auto,15737
"2014-02-01",CABA,auto,9521
"2014-03-01",CABA,auto,8638
"2014-04-01",CABA,auto,8369
"2014-05-01",CABA,auto,9189
"2014-06-01",CABA,auto,8687
"2014-07-01",CABA,auto,9577
"2014-08-01",CABA,auto,8805
"2014-09-01",CABA,auto,9712
"2014-10-01",CABA,auto,8826
"2014-11-01",CABA,auto,6905
"2014-12-01",CABA,auto,5843
"2015-01-01",CABA,auto,9325
"2015-02-01",CABA,auto,6727
"2015-03-01",CABA,auto,7381
"2015-04-01",CABA,auto,8380
"2015-05-01",CABA,auto,7488
"2015-06-01",CABA,auto,9005
"2015-07-01",CABA,auto,9196
"2015-08-01",CABA,auto,8495
"2015-09-01",CABA,auto,9585
"2015-10-01",CABA,auto,8837
"2015-11-01",CABA,auto,8156
"2015-12-01",CABA,auto,5489
"2016-01-01",CABA,auto,8163
"2016-02-01",CABA,auto,6457
"2016-03-01",CABA,auto,7880
"2016-04-01",CABA,auto,8664
"2016-05-01",CABA,auto,8883
"2016-06-01",CABA,auto,8065
"2016-07-01",CABA,auto,9479
"2016-08-01",CABA,auto,10623
"2016-09-01",CABA,auto,10762
"2016-10-01",CABA,auto,10101
"2016-11-01",CABA,auto,9859
"2016-12-01",CABA,auto,7302
"2017-01-01",CABA,auto,13411
"2017-02-01",CABA,auto,9093
"2017-03-01",CABA,auto,11739
"2017-04-01",CABA,auto,9985
"2017-05-01",CABA,auto,11579
"2017-06-01",CABA,auto,12106
"2017-07-01",CABA,auto,11992
"2017-08-01",CABA,auto,13153
"2017-09-01",CABA,auto,11845
"2017-10-01",CABA,auto,12192
"2017-11-01",CABA,auto,11754
"2017-12-01",CABA,auto,8672
"2018-01-01",CABA,auto,16191
"2018-02-01",CABA,auto,10484
"2018-03-01",CABA,auto,12846
"2018-04-01",CABA,auto,11929
"2018-05-01",CABA,auto,12934
"2018-06-01",CABA,auto,10382
"2018-07-01",CABA,auto,11140
"2018-08-01",CABA,auto,10713
"2018-09-01",CABA,auto,9558
"2018-10-01",CABA,auto,9105
"2018-11-01",CABA,auto,7708
"2018-12-01",CABA,auto,5878
"2019-01-01",CABA,auto,9721
"2019-02-01",CABA,auto,7018
"2019-03-01",CABA,auto,6756
"2019-04-01",CABA,auto,6618
"2019-05-01",CABA,auto,6546
"2019-06-01",CABA,auto,6261
"2019-07-01",CABA,auto,8863
"2019-08-01",CABA,auto,7671
"2019-09-01",CABA,auto,6641
"2019-10-01",CABA,auto,5750
"2019-11-01",CABA,auto,5192
"2019-12-01",CABA,auto,4703
